legacy_release_id	label_count	rotation_rows	labels
55753	2	2	[{"name":"LOYAL LABEL","company_ids":[3698],"rotation_rows":1},{"name":"Nefarious Industries","company_ids":[5342],"rotation_rows":1}]
56113	2	2	[{"name":"ASPHODEL","company_ids":[502],"rotation_rows":1},{"name":"WARP","company_ids":[733],"rotation_rows":1}]
56368	2	2	[{"name":"ALIEN8","company_ids":[1546],"rotation_rows":1},{"name":"SOLEILMOON","company_ids":[251],"rotation_rows":1}]
56632	4	4	[{"name":"KELIPPAH","company_ids":[4132],"rotation_rows":1},{"name":"LOAD","company_ids":[539],"rotation_rows":1},{"name":"NEGATIVE JAZZ","company_ids":[4777],"rotation_rows":1},{"name":"Numero Group","company_ids":[6664],"rotation_rows":1}]
57094	2	2	[{"name":"PHILIPS/POLYGRAM","company_ids":[1555],"rotation_rows":1},{"name":"POLYGRAM","company_ids":[308],"rotation_rows":1}]
57685	2	2	[{"name":"ROB'S HOUSE","company_ids":[3434],"rotation_rows":1},{"name":"WANTAGE","company_ids":[530],"rotation_rows":1}]
58300	2	2	[{"name":"DISTORTIONS/WATERPIPE","company_ids":[1944],"rotation_rows":1},{"name":"POSITIVELY","company_ids":[2972],"rotation_rows":1}]
58513	2	2	[{"name":"FAMILY","company_ids":[2707],"rotation_rows":1},{"name":"LO","company_ids":[2014],"rotation_rows":1}]
59096	2	7	[{"name":"NORMAL/QDK MEDIA","company_ids":[1181],"rotation_rows":5},{"name":"QDK MEDIA","company_ids":[1665],"rotation_rows":2}]
61240	2	2	[{"name":"NOSMOKE","company_ids":[3927],"rotation_rows":1},{"name":"STICK IT TO THE MAN","company_ids":[1796],"rotation_rows":1}]
61255	2	2	[{"name":"B MUSIC/FINDERS KEEPERS","company_ids":[3605],"rotation_rows":1},{"name":"FINDERS KEEPERS","company_ids":[2878],"rotation_rows":1}]
61714	2	2	[{"name":"ALL DAY","company_ids":[4164],"rotation_rows":1},{"name":"OUTER BATTERY","company_ids":[4021],"rotation_rows":1}]
62222	2	2	[{"name":"DE STIJL","company_ids":[3123],"rotation_rows":1},{"name":"NOTENUF","company_ids":[2480],"rotation_rows":1}]
62904	2	2	[{"name":"4AD","company_ids":[3778],"rotation_rows":1},{"name":"Mr. Bongo","company_ids":[6542],"rotation_rows":1}]
63293	2	2	[{"name":"IN THE RED","company_ids":[960],"rotation_rows":1},{"name":"MUNSTER","company_ids":[2002],"rotation_rows":1}]
64111	2	2	[{"name":"(self-released)","company_ids":[4552],"rotation_rows":1},{"name":"HOT RELEASES","company_ids":[3508],"rotation_rows":1}]
64170	2	2	[{"name":"(self-released)","company_ids":[3853],"rotation_rows":1},{"name":"NIGHT SLUGS","company_ids":[3868],"rotation_rows":1}]
64359	2	2	[{"name":"NO BUSINESS","company_ids":[4018],"rotation_rows":1},{"name":"NOBUSINESS","company_ids":[4027],"rotation_rows":1}]
65234	2	3	[{"name":"HOT RELEASES","company_ids":[3508],"rotation_rows":2},{"name":"BLACKEST EVER BLACK","company_ids":[4291],"rotation_rows":1}]
65239	2	2	[{"name":"STONE'S THROW","company_ids":[1153],"rotation_rows":1},{"name":"STONES THROW","company_ids":[3777],"rotation_rows":1}]
65296	2	2	[{"name":"THIRD MAN","company_ids":[4518],"rotation_rows":1},{"name":"THIRD MAN RECORDS","company_ids":[4914],"rotation_rows":1}]
65862	2	2	[{"name":"DIAGONAL RECORDINGS","company_ids":[4735],"rotation_rows":1},{"name":"ORDINAL RECORDS","company_ids":[4622],"rotation_rows":1}]
66152	2	2	[{"name":"KIT","company_ids":[5151],"rotation_rows":1},{"name":"KITE","company_ids":[5097],"rotation_rows":1}]
